St. John's College (Annapolis)	(410) 263-2371
Northwest Vista College (San Antonio)	(210) 486-4000
University of Texas Health Science Center at San Antonio (San Antonio)	(210) 567-7000
Texas A&M University–San Antonio (San Antonio)	(210) 784-1000
University of the Incarnate Word (San Antonio)	(210) 829-6000
Trinity University (San Antonio)	(210) 999-7011
Fashion Institute of Technology (New York City)	(212) 217-7999
Borough of Manhattan Community College (New York City)	(212) 220-8000
The New School (New York City)	(212) 229-5108
The New School for Public Engagement (New York City)	(212) 229-5108
The New School for Drama (New York City)	(212) 229-5859
John Jay College of Criminal Justice (New York City)	(212) 237-8000
New York Institute of Technology (Old Westbury)	(212) 261-1500
Pace University (New York City)	(212) 346-1200
Cooper Union (New York City)	(212) 353-4100
Touro College of Osteopathic Medicine (New York City)	(212) 463-0400
Marymount Manhattan College	(212) 517-0430
School of Visual Arts (New York City)	(212) 592-2000
City College of New York (New York City)	(212) 650-7000
The King's College (New York City)	(212) 659-7200
Teachers College, Columbia University (New York City)	(212) 678-3000
Hunter College (New York City)	(212) 772-4000
The Graduate Center, CUNY (New York City)	(212) 817-7000
Columbia University	(212) 854-1754
Barnard College (New York City)	(212) 854-5262
Columbia Business School (New York City)	(212) 854-5553
Yeshiva University (New York City)	(212) 960-5400
New York University (New York City)	(212) 998-1212
Southern California Institute of Architecture (Los Angeles)	(213) 613-2200
University of Southern California (Los Angeles)	(213) 740-2311
Los Angeles Trade–Technical College (Los Angeles)	(213) 763-7000
Dallas Baptist University (Dallas)	(214) 333-7100
University of Texas Southwestern Medical Center (Dallas)	(214) 645-3300
Southern Methodist University (Dallas)	(214) 768-2000
Dallas Theological Seminary (Dallas)	(214) 887-5000
Temple University (Philadelphia)	(215) 204-7000
Chestnut Hill College (Philadelphia)	(215) 248-7001
Delaware Valley College (Doylestown)	(215) 345-1500
Arcadia University	(215) 572-2900
Holy Family University (Philadelphia)	(215) 637-7700
Gwynedd Mercy University (Gwynedd Valley)	(215) 646-7300
Episcopal School of Nursing (Philadelphia)	(215) 707-1200
Community College of Philadelphia (Philadelphia)	(215) 751-8000
Philadelphia College of Osteopathic Medicine (Philadelphia)	(215) 871-6100
Penn State Abington (Abington Township)	(215) 881-7600
Drexel University (Philadelphia)	(215) 895-2000
University of Pennsylvania (Philadelphia)	(215) 898-5000
La Salle University (Philadelphia)	(215) 951-1000
Philadelphia University (Philadelphia)	(215) 951-2700
Thomas Jefferson University (Philadelphia)	(215) 955-6000
Case Western Reserve University (Cleveland)	(216) 368-2000
Notre Dame College (South Euclid)	(216) 381-1680
John Carroll University (University Heights)	(216) 397-1886
Cleveland State University (Cleveland)	(216) 687-2000
University of Illinois at Springfield (Springfield)	(217) 206-6600
Quincy University (Quincy)	(217) 222-8020
Illinois College (Jacksonville)	(217) 245-3000
University of Illinois at Urbana–Champaign	(217) 333-1000
Millikin University (Decatur)	(217) 424-6211
MacMurray College (Jacksonville)	(217) 479-7000
Eastern Illinois University (Charleston)	(217) 581-5000
Lincoln Land Community College (Springfield)	(217) 786-2200
Blackburn College (Carlinville)	(217) 854-3231
University of Minnesota Crookston (Crookston)	(218) 281-6510
Concordia College (Moorhead)	(218) 299-4000
Morehead State University (Morehead)	(218) 477-4000
The College of St. Scholastica (Duluth)	(218) 723-6000
University of Minnesota Duluth (Duluth)	(218) 726-8000
Lake Superior College (Duluth)	(218) 733-7600
Bemidji State University (Bemidji)	(218) 755-2001
Northland Community & Technical College (East Grand Forks)	(218) 793-2800
Valparaiso University (Valparaiso)	(219) 464-5000
Calumet College of St. Joseph (Whiting)	(219) 473-7770
Purdue University North Central (Westville)	(219) 785-5200
Saint Joseph's College (Rensselaer)	(219) 866-6000
Purdue University Calumet (Hammond)	(219) 989-2400
Baton Rouge Community College (Baton Rouge)	(225) 216-8000
Louisiana Technical College (Baton Rouge)	(225) 359-9201
Louisiana State University (Baton Rouge)	(225) 578-3202
Our Lady of the Lake College (Baton Rouge)	(225) 768-1700
Southern University and A&M College (Baton Rouge)	(225) 771-4500
Valdosta State University (Valdosta)	(229) 333-5800
Albany State University (Albany)	(229) 430-4600
Georgia Southwestern State University (Americus)	(229) 928-1273
Ferris State University (Big Rapids)	(231) 591-2000
Muskegon Community College (Muskegon)	(231) 773-9131
Great Lakes Maritime Academy (Traverse City)	(231) 995-1200
Ave Maria University (Ave Maria)	(239) 280-2500
Florida Gulf Coast University (Fort Myers)	(239) 590-1000
Hagerstown Community College (Hagerstown)	(240) 500-2000
St. Mary's College of Maryland (St. Mary's City)	(240) 895-2000
Lawrence Technological University (Southfield)	(248) 204-4000
Rochester College (Rochester Hills)	(248) 218-2000
Oakland Community College (Bloomfield Hills)	(248) 246-2400
Oakland University (Rochester)	(248) 370-2100
Spring Hill College (Mobile)	(251) 380-4000
Bishop State Community College (Mobile)	(251) 405-7000
University of South Alabama (Mobile)	(251) 460-6101
Faulkner State Community College (Bay Minette)	(251) 580-2100
University of Mobile (Mobile)	(251) 675-5990
East Carolina University (Greenville)	(252) 328-6131
Chowan University (Murfreesboro)	(252) 398-6500
Pitt Community College (Winterville)	(252) 493-7200
North Carolina Wesleyan College (Rocky Mount)	(252) 985-5100
Pacific Lutheran University (Tacoma)	(253) 535-7411
Tacoma Community College (Tacoma)	(253) 566-5000
University of Washington Tacoma (Tacoma)	(253) 692-4000
University of Puget Sound (Tacoma)	(253) 879-3100
University of Mary Hardin–Baylor (Belton)	(254) 295-8642
Baylor University (Waco)	(254) 710-1011
Texas State Technical College System (Waco)	(254) 799-3611
Tarleton State University (Stephenville)	(254) 968-9000
Athens State University (Athens)	(256) 233-8100
Calhoun Community College (Tanner)	(256) 306-2500
Talladega College (Talladega)	(256) 362-0206
Alabama Agricultural and Mechanical University (Huntsville)	(256) 372-5000
J. F. Drake State Technical College	(256) 539-8161
Oakwood University (Huntsville)	(256) 726-7000
University of North Alabama (Florence)	(256) 765-4100
Jacksonville State University (Jacksonville)	(256) 782-5781
University of Alabama in Huntsville (Huntsville)	(256) 824-1000
Huntington University (Huntington)	(260) 356-6000
University of Saint Francis (Fort Wayne)	(260) 399-7999
Indiana University – Purdue University Fort Wayne (Fort Wayne)	(260) 481-6100
Manchester University (North Manchester)	(260) 982-5000
Concordia University Wisconsin (Mequon)	(262) 243-5700
University of Wisconsin–Whitewater (Whitewater)	(262) 472-1234
University of Wisconsin–Waukesha (Waukesha)	(262) 521-5200
Carroll University (Waukesha)	(262) 524-7373
Carthage College (Kenosha)	(262) 551-8500
University of Wisconsin–Parkside (Kenosha)	(262) 595-2345
Waukesha County Technical College (Pewaukee)	(262) 691-5566
Kalamazoo College (Kalamazoo)	(269) 337-7000
Western Michigan University (Kalamazoo)	(269) 387-1000
Kalamazoo Valley Community College (Kalamazoo)	(269) 488-4400
Olivet College (Olivet)	(269) 749-7635
Lake Michigan College (Benton Harbor)	(269) 927-1000
Kellogg Community College (Battle Creek)	(269) 965-3931
Lindsey Wilson College (Columbia)	(270) 384-2126
West Kentucky Community and Technical College (Paducah)	(270) 554-9200
Brescia University (Owensboro)	(270) 686-4338
Owensboro Community and Technical College (Owensboro)	(270) 686-4400
Western Kentucky University (Bowling Green)	(270) 745-0111
Elizabethtown Community and Technical College (Elizabethtown)	(270) 769-2371
Campbellsville University (Campbellsville)	(270) 789-5000
Murray State University (Murray)	(270) 809-3011
Madisonville Community College (Madisonville)	(270) 821-2250
Southcentral Kentucky Community and Technical College (Bowling Green)	(270) 901-1000
Kentucky Wesleyan College (Owensboro)	(270) 926-3111
Emory and Henry College	(276) 944-4121
University of Houston–Clear Lake (Houston)	(281) 283-7600
Lone Star College–North Harris (Houston)	(281) 618-5400
Houston Baptist University (Houston)	(281) 649-3000
University of Maryland, College Park (College Park)	(301) 405-1000
Mount St. Mary's University (Emmitsburg)	(301) 447-6122
Hood College (Frederick)	(301) 663-3131
Frostburg State University (Frostburg)	(301) 687-4000
Frederick Community College (Frederick)	(301) 846-2400
Bowie State University (Bowie)	(301) 860-4000
Washington Adventist University (Takoma Park)	(301) 891-4000
College of Southern Maryland (La Plata)	(301) 934-2251
Delaware Technical Community College (Dover)	(302) 259-6000
Wilmington University (New Castle)	(302) 356-4636
Dawn Career Institute (Wilmington)	(302) 633-9075
Wesley College (Dover)	(302) 736-2300
University of Delaware (Newark)	(302) 831-2792
Delaware State University (Dover)	(302) 857-6060
Goldey–Beacom College (Wilmington)	(302) 998-8814
Johnson & Wales University-Denver (Denver)	(303) 256-9300
Colorado School of Mines (Golden)	(303) 273-3000
Community College of Aurora (Aurora)	(303) 360-4700
Front Range Community College (Westminster)	(303) 404-5000
Regis University (Denver)	(303) 458-4126
University of Colorado Boulder (Boulder)	(303) 492-1411
University of Colorado Denver (Denver)	(303) 556-2400
Community College of Denver (Denver)	(303) 556-2600
Metropolitan State University of Denver (Denver)	(303) 556-5740
Iliff School of Theology (Denver)	(303) 744-1287
Arapahoe Community College (Littleton)	(303) 797-4222
University of Denver (Denver)	(303) 871-2000
Red Rocks Community College (Lakewood)	(303) 914-6600
Colorado Christian University (Lakewood)	(303) 963-3000
West Virginia Northern Community College (Wheeling)	(304) 233-5900
West Virginia University (Morgantown)	(304) 293-0111
West Virginia University School of Dentistry (Morgantown)	(304) 293-2841
Salem International University (Salem)	(304) 326-1109
West Liberty University (West Liberty)	(304) 336-5000
West Virginia University at Parkersburg (Parkersburg)	(304) 424-8000
West Virginia University Institute of Technology (Montgomery)	(304) 442-1000
Alderson Broaddus University (Philippi)	(304) 457-1700
Glenville State College (Glenville)	(304) 462-7361
West Virginia Wesleyan College (Buckhannon)	(304) 473-8000
Davis & Elkins College (Elkins)	(304) 637-1900
West Virginia State University (Institute)	(304) 766-3000
Potomac State College of West Virginia University (Keyser)	(304) 788-6820
Bethany College (Bethany)	(304) 829-7000
Shepherd University (Shepherdstown)	(304) 876-5000
Miami Dade College (Miami)	(305) 237-3000
New World School of the Arts (Miami)	(305) 237-3135
University of Miami (Coral Gables)	(305) 284-2211
Florida International University (Miami)	(305) 348-2000
Florida Memorial University (Miami Gardens)	(305) 626-3600
Johnson & Wales University-Florida Campus (North Miami)	(305) 892-7000
Barry University (Miami Shores)	(305) 899-3000
Casper College (Casper)	(307) 268-2100
Wyoming Catholic College (Lander)	(307) 332-2930
Western Wyoming Community College (Rock Springs)	(307) 382-1600
Sheridan College (Sheridan)	(307) 674-6446
University of Wyoming (Laramie)	(307) 766-1121
Laramie County Community College (Cheyenne)	(307) 778-5222
Central Wyoming College (Riverton)	(307) 855-2000
Central Community College (Grand Island)	(308) 398-4222
Chadron State College (Chadron)	(308) 432-6000
University of Nebraska at Kearney (Kearney)	(308) 865-8441
Heartland Community College (Normal)	(309) 268-8000
Western Illinois University (Macomb)	(309) 298-1414
Knox College (Galesburg)	(309) 341-7000
Carl Sandburg College (Galesburg)	(309) 344-2518
Illinois State University (Normal)	(309) 438-2111
Monmouth College (Monmouth)	(309) 457-2345
Illinois Wesleyan University (Bloomington)	(309) 556-1000
Spoon River College (Canton)	(309) 647-4645
Bradley University (Peoria)	(309) 676-7611
Illinois Central College (East Peoria)	(309) 694-5422
Augustana College (Rock Island)	(309) 794-7000
Black Hawk College (Moline)	(309) 796-5000
California State University, Dominguez Hills (Carson)	(310) 243-3696
Marymount California University (Rancho Palos Verdes)	(310) 303-7311
Loyola Marymount University (Los Angeles)	(310) 338-2700
Santa Monica College (Santa Monica)	(310) 434-4000
Pepperdine University (Malibu)	(310) 506-4000
University of California, Los Angeles (Los Angeles)	(310) 825-4321
The Illinois Institute of Art - Chicago (Chicago)	(312) 280-3500
Tribeca Flashpoint Media Arts Academy (Chicago)	(312) 332-0707
Roosevelt University (Chicago)	(312) 341-3500
DePaul University (Chicago)	(312) 362-8000
Columbia College Chicago (Chicago)	(312) 369-1000
John Marshall Law School (Chicago)	(312) 427-2737
Harold Washington College (Chicago)	(312) 553-5600
Illinois Institute of Technology (Chicago)	(312) 567-3000
IIT Institute of Design (Chicago)	(312) 595-4900
School of the Art Institute of Chicago (Chicago)	(312) 629-6100
University of Illinois at Chicago	(312) 996-4350
UIC College of Pharmacy	(312) 996-7242
Wayne State University (Detroit)	(313) 577-2424
Henry Ford College (Dearborn)	(313) 845-9600
Sacred Heart Major Seminary (Detroit)	(313) 883-8500
Wayne County Community College District (Detroit)	(313) 943-4000
University of Detroit Mercy (Detroit)	(313) 993-1245
Harris–Stowe State University (St. Louis)	(314) 340-3366
Missouri Baptist University (St. Louis)	(314) 434-1115
Covenant Theological Seminary (St. Louis)	(314) 434-4044
Concordia Seminary (St. Louis)	(314) 505-7000
University of Missouri–St. Louis (St. Louis)	(314) 516-5000
Maryville University (St. Louis)	(314) 529-9350
St. Louis Community College (St. Louis)	(314) 539-5000
Fontbonne University (St. Louis)	(314) 862-3456
Washington University in St. Louis (St. Louis)	(314) 935-5000
Webster University (Webster Groves)	(314) 968-6900
St. Louis Community College–Meramec (St. Louis)	(314) 984-7500
Colgate University (Hamilton)	(315) 228-7000
St. Lawrence University (Canton)	(315) 229-5011
Cayuga Community College (Auburn)	(315) 255-1743
Clarkson University (Potsdam)	(315) 268-6400
Keuka College	(315) 279-5000
State University of New York at Oswego (Oswego)	(315) 312-2500
State University of New York at Canton	(315) 386-7011
Syracuse University (Syracuse)	(315) 443-1870
Le Moyne College (Syracuse)	(315) 445-4100
State University of New York Upstate Medical University (Syracuse)	(315) 464-5540
State University of New York College of Environmental Science and Forestry (Syracuse)	(315) 470-6500
Onondaga Community College (Syracuse)	(315) 498-2622
Cazenovia College (Cazenovia)	(315) 655-7208
Morrisville State College (Morrisville)	(315) 684-6000
Hobart and William Smith Colleges (Geneva)	(315) 781-3000
Utica College (Utica)	(315) 792-3006
State University of New York Polytechnic Institute	(315) 792-7500
Hamilton College (Clinton)	(315) 859-4011
Friends University (Wichita)	(316) 295-5000
Butler Community College (El Dorado)	(316) 321-2222
Wichita Area Technical College (Wichita)	(316) 677-9400
Newman University, Wichita (Wichita)	(316) 942-4291
Wichita State University (Wichita)	(316) 978-3456
Indiana University – Purdue University Indianapolis (Indianapolis)	(317) 274-2548
Indiana University School of Medicine (Indianapolis)	(317) 274-3772
Indiana University Robert H. McKinney School of Law (Indianapolis)	(317) 423-0710
University of Indianapolis (Indianapolis)	(317) 788-3368
Butler University (Indianapolis)	(317) 940-8000
Marian University (Indianapolis)	(317) 955-6000
Grambling State University (Grambling)	(318) 247-3811
Louisiana Tech University (Ruston)	(318) 257-2000
University of Louisiana at Monroe (Monroe)	(318) 342-1000
Northwestern State University (Natchitoches)	(318) 357-6011
Louisiana College (Pineville)	(318) 487-7011
Southern University at Shreveport (Shreveport)	(318) 670-6000
LSU Health Sciences Center Shreveport (Shreveport)	(318) 675-5000
Bossier Parish Community College (Bossier City)	(318) 678-6000
Louisiana State University in Shreveport (Shreveport)	(318) 797-5000
Hawkeye Community College (Waterloo)	(319) 234-5745
University of Northern Iowa (Cedar Falls)	(319) 273-2311
University of Iowa (Iowa City)	(319) 335-3500
Roy J. and Lucille A. Carver College of Medicine	(319) 335-8435
Mount Mercy University (Cedar Rapids)	(319) 363-8213
Kirkwood Community College (Cedar Rapids)	(319) 398-5411
Coe College (Cedar Rapids)	(319) 399-8000
Cornell College (Mount Vernon)	(319) 895-4000
St. Cloud State University (St. Cloud)	(320) 308-0121
College of Saint Benedict (St. Joseph)	(320) 363-2011
University of Minnesota Morris (Morris)	(320) 589-6035
Florida Institute of Technology (Melbourne)	(321) 674-8000
Occidental College (Los Angeles)	(323) 259-2500
East Los Angeles College (Monterey Park)	(323) 265-8650
California State University, Los Angeles (Los Angeles)	(323) 343-3000
Touro College Los Angeles (West Hollywood)	(323) 822-9700
Los Angeles City College (Los Angeles)	(323) 953-4000
Howard Payne University (Brownwood)	(325) 649-8020
Hardin–Simmons University (Abilene)	(325) 670-1000
Abilene Christian University (Abilene)	(325) 674-2000
McMurry University (Abilene)	(325) 793-3800
Angelo State University (San Angelo)	(325) 942-2555
College of Wooster (Wooster)	(330) 263-2000
Northeast Ohio Medical University (Rootstown Township)	(330) 325-2511
Stark State College (North Canton)	(330) 494-6170
Kent State University at Stark (North Canton)	(330) 499-9600
Hiram College (Hiram)	(330) 569-5169
Kent State University (Kent)	(330) 672-3000
Youngstown State University (Youngstown)	(330) 941-3000
University of Akron (Akron)	(330) 972-7111
Alabama State University (Montgomery)	(334) 229-4100
Auburn University at Montgomery (Montgomery)	(334) 244-3000
Faulkner University (Montgomery)	(334) 272-5820
Tuskegee University (Tuskegee)	(334) 727-8011
Huntingdon College (Montgomery)	(334) 833-4497
Auburn University (Auburn)	(334) 844-4000
Wallace Community College (Dothan)	(334) 983-3521
Greensboro College (Greensboro)	(336) 272-7102
Elon University (Elon)	(336) 278-2000
Guilford College (Greensboro)	(336) 316-2000
Guilford Technical Community College (Jamestown)	(336) 334-4822
University of North Carolina at Greensboro (Greensboro)	(336) 334-5000
North Carolina Agricultural and Technical State University (Greensboro)	(336) 334-7500
Bennett College (Greensboro)	(336) 517-2100
Salem College (Winston-Salem)	(336) 721-2600
Forsyth Technical Community College (Winston-Salem)	(336) 723-0371
Winston-Salem State University (Winston-Salem)	(336) 750-2000
Wake Forest University (Winston-Salem)	(336) 758-5000
University of North Carolina School of the Arts (Winston-Salem)	(336) 770-3399
McNeese State University (Lake Charles)	(337) 475-5000
University of Louisiana at Lafayette (Lafayette)	(337) 482-1000
South Louisiana Community College (Lafayette)	(337) 521-9000
University of Florida (Gainesville)	(352) 392-3261
Santa Fe College (Gainesville)	(352) 395-5000
Pasco–Hernando State College (New Port Richey)	(352) 567-6701
Saint Leo University (St. Leo)	(352) 588-8200
Whatcom Community College (Bellingham)	(360) 383-3000
Skagit Valley College (Mount Vernon)	(360) 416-7600
Saint Martin's University (Lacey)	(360) 491-4700
Western Washington University (Bellingham)	(360) 650-3000
Bellingham Technical College (Bellingham)	(360) 752-7000
The Evergreen State College (Olympia)	(360) 867-6000
Texas A&M University–Kingsville (Kingsville)	(361) 593-2111
Del Mar College (Corpus Christi)	(361) 698-1200
Texas A&M University–Corpus Christi (Corpus Christi)	(361) 825-5700
Embry–Riddle Aeronautical University (Daytona Beach)	(386) 226-6910
St. Johns River State College (Palatka)	(386) 312-4200
Bethune-Cookman University (Daytona Beach)	(386) 481-2000
Daytona State College (Daytona Beach)	(386) 506-3000
Stetson University (DeLand)	(386) 822-7000
Bryant University (Smithfield)	(401) 232-6000
Roger Williams University (Bristol)	(401) 253-1040
Community College of Rhode Island (Warwick)	(401) 437-5224
Rhode Island School of Design (Providence)	(401) 454-6100
Rhode Island College (Providence)	(401) 456-8000
New England Institute of Technology (East Greenwich)	(401) 467-7744
Johnson & Wales University (Providence)	(401) 598-1000
Naval War College (Newport)	(401) 841-1310
Salve Regina University (Newport)	(401) 847-6650
Brown University (Providence)	(401) 863-1000
Providence College (Providence)	(401) 865-1000
University of Rhode Island (Kingston)	(401) 874-1000
Creighton University (Omaha)	(402) 280-2700
Nebraska Methodist College (Omaha)	(402) 354-7000
College of Saint Mary (Omaha)	(402) 399-2400
University of Nebraska–Lincoln (Lincoln)	(402) 472-7211
Union College (Lincoln)	(402) 486-2600
Clarkson College (Omaha)	(402) 552-3100
University of Nebraska Omaha	(402) 554-2800
University of Nebraska Medical Center (Omaha)	(402) 559-4000
Concordia University (Nebraska) (Seward)	(402) 643-3651
Southeast Community College (Lincoln)	(402) 761-2131
Doane College (Crete)	(402) 826-2161
Nebraska Wesleyan University (Lincoln)	(402) 827-3555
Peru State College (Peru)	(402) 872-3815
Oglethorpe University (Atlanta)	(404) 261-1441
Georgia State University (Atlanta)	(404) 413-2000
Agnes Scott College (Decatur)	(404) 471-6000
Morehouse College (Atlanta)	(404) 681-2800
Spelman College (Atlanta)	(404) 681-3643
Emory University (Atlanta)	(404) 727-6123
Morris Brown College (Atlanta)	(404) 739-1010
Morehouse School of Medicine (Atlanta)	(404) 752-1500
Atlanta Metropolitan State College (Atlanta)	(404) 756-4000
Clark Atlanta University (Atlanta)	(404) 880-8000
Georgia Institute of Technology (Atlanta)	(404) 894-2000
Oklahoma City University (Oklahoma City)	(405) 208-5000
University of Oklahoma Health Sciences Center (Oklahoma City)	(405) 271-4000
Oklahoma Baptist University (Shawnee)	(405) 275-2850
University of Oklahoma (Norman)	(405) 325-0311
Oklahoma Christian University (Edmond)	(405) 425-5000
Langston University (Langston)	(405) 466-2231
Oklahoma City Community College (Oklahoma City)	(405) 682-1611
Mid-America Christian University (Oklahoma City)	(405) 691-3800
Rose State College (Midwest City)	(405) 733-7372
Oklahoma State University–Stillwater (Stillwater)	(405) 744-5000
Southern Nazarene University (Bethany)	(405) 789-6400
Southwestern Christian University (Bethany)	(405) 789-7661
St. Gregory's University (Shawnee)	(405) 878-5100
Oklahoma State University–Oklahoma City (Oklahoma City)	(405) 947-4421
University of Central Oklahoma (Edmond)	(405) 974-2000
University of Montana (Missoula)	(406) 243-0211
Montana State University–Northern (Havre)	(406) 265-3700
Salish Kootenai College	(406) 275-4800
Carroll College (Helena)	(406) 447-4300
Helena College University of Montana (Helena)	(406) 447-6900
Rocky Mountain College (Billings)	(406) 657-1000
Montana State University Billings (Billings)	(406) 657-2011
Flathead Valley Community College (Kalispell)	(406) 756-3822
Miles Community College (Miles City)	(406) 874-6100
Montana State University (Bozeman)	(406) 994-0211
Valencia College (Orlando)	(407) 299-5000
Adventist University of Health Sciences (Orlando)	(407) 303-9798
Rollins College (Winter Park)	(407) 646-2000
Full Sail University (Winter Park)	(407) 679-0100
Seminole State College of Florida (Sanford)	(407) 708-4722 ext. 3609
University of Central Florida (Orlando)	(407) 823-2000
San Jose City College (San Jose)	(408) 298-2181
Santa Clara University (Santa Clara)	(408) 554-4000
De Anza College (Cupertino)	(408) 864-5300
San Jose State University (San Jose)	(408) 924-1000
Texas A&M University at Galveston (Galveston)	(409) 740-4411
Lamar Institute of Technology (Beaumont)	(409) 880-8321
Lamar State College–Orange (Orange)	(409) 883-7750
Lamar State College–Port Arthur (Port Arthur)	(409) 983-4921
Cecil College (North East)	(410) 287-1000
United States Naval Academy (Annapolis)	(410) 293-1000
Wor–Wic Community College (Salisbury)	(410) 334-2800
Goucher College (Baltimore)	(410) 337-6000
Notre Dame of Maryland University (Baltimore)	(410) 435-0100
University of Maryland, Baltimore County (Baltimore)	(410) 455-1000
Johns Hopkins University (Baltimore)	(410) 516-8000
Salisbury University (Salisbury)	(410) 543-6000
Loyola University Maryland (Baltimore)	(410) 617-2000
University of Maryland Eastern Shore (Princess Anne)	(410) 651-7747
Maryland Institute College of Art (Baltimore)	(410) 669-9200
Towson University (Towson)	(410) 704-2000
University of Maryland, Baltimore (Baltimore)	(410) 706-3100
Anne Arundel Community College	(410) 777-2222
Washington College (Chestertown)	(410) 778-2800
Chesapeake College (Wye Mills)	(410) 822-5400
University of Baltimore (Baltimore)	(410) 837-4200
McDaniel College (Westminster)	(410) 848-7000
Coppin State University (Baltimore)	(410) 951-3000
Carnegie Mellon University (Pittsburgh)	(412) 268-2000
Chatham University (Pittsburgh)	(412) 365-1100
La Roche College (Pittsburgh)	(412) 367-9300
Point Park University (Pittsburgh)	(412) 391-4100
Community College of Allegheny County (Pittsburgh)	(412) 394-6989
Duquesne University (Pittsburgh)	(412) 396-6000
Carlow University (Pittsburgh)	(412) 578-6000
University of Pittsburgh (Pittsburgh)	(412) 624-4141
Mount Holyoke College (South Hadley)	(413) 538-2000
Holyoke Community College (Holyoke)	(413) 538-7000
Amherst College (Amherst)	(413) 542-2000
University of Massachusetts Amherst	(413) 545-0111
Hampshire College (Amherst)	(413) 549-4600
Westfield State University (Westfield)	(413) 572-5300
Smith College (Northampton)	(413) 584-2700
Williams College (Williamstown)	(413) 597-3131
Western New England University (Springfield)	(413) 782-3111
University of Wisconsin–Milwaukee	(414) 229-1122
Mount Mary University (Milwaukee)	(414) 258-4810
Milwaukee School of Engineering (Milwaukee)	(414) 277-7300
