Stevens Institute of Technology	(201) 216-5000
Tuskegee University	(334) 727-8011
Auburn University	(334) 844-4000
Elon University	(336) 278-2000
Guilford College	(336) 316-2000
University of North Carolina, Greensboro	(336) 334-5000
North Carolina A&T State University	(336) 334-7500
Salem College	(336) 721-2600
Wake Forest University	(336) 758-5000
University of Louisiana, Lafayette	(337) 482-1000
University of Florida	(352) 392-3261
Western Washington University	(360) 650-3000
Texas A&M University, Kingsville	(361) 593-2111
Texas A&M University, Corpus Christi	(361) 825-5700
Embry-Riddle Aeronautical University, Daytona Beach	(386) 226-6910
Stetson University	(386) 822-7000
Bryant University	(401) 232-6000
Roger Williams University	(401) 253-1040
Rhode Island College	(401) 456-8000
Johnson & Wales University	(401) 598-1000
Brown University	(401) 863-1000
Providence College	(401) 865-1000
University of Rhode Island	(401) 874-1000
Creighton University	(402) 280-2700
University of Nebraska, Lincoln	(402) 472-7211
University of Nebraska, Omaha	(402) 554-2800
Doane College	(402) 826-2161
Oglethorpe University	(404) 261-1441
Georgia State University	(404) 413-2000
Agnes Scott College	(404) 471-6000
Morehouse College	(404) 681-2800
Spelman College	(404) 681-3643
Georgia Institute of Technology	(404) 894-2000
Oklahoma City University	(405) 208-5000
Oklahoma Baptist University	(405) 275-2850
University of Oklahoma, Norman	(405) 325-0311
Oklahoma State University	(405) 744-5000
University of Central Oklahoma	(405) 974-2000
University of Montana	(406) 243-0211
Carroll College	(406) 447-4300
Rocky Mountain College	(406) 657-1000
Montana State University, Bozeman	(406) 994-0211
Rollins College	(407) 646-2000
University of Central Florida	(407) 823-2000
New School	(408) 475-1024
Santa Clara University	(408) 554-4000
San Jose State University	(408) 924-1000
Pepperdine University	(408) 982-2595
Saint John's College (MD)	(410) 263-2371
United States Naval Academy	(410) 293-1000
Goucher College	(410) 337-6000
University of Maryland, Baltimore County	(410) 455-1000
Johns Hopkins University	(410) 516-8000
Salisbury University	(410) 543-6000
Loyola University Maryland	(410) 617-2000
Towson University	(410) 704-2000
Washington College	(410) 778-2800
Carnegie Mellon University	(412) 268-2000
Duquesne University	(412) 396-6000
University of Pittsburgh	(412) 624-4141
Mount Holyoke College	(413) 538-2000
Amherst College	(413) 542-2000
University of Massachusetts, Amherst	(413) 545-0111
Hampshire College	(413) 549-4600
Smith College	(413) 584-2700
Williams College	(413) 597-3131
University of Wisconsin, Milwaukee	(414) 229-1122
Milwaukee School of Engineering	(414) 277-7300
Marquette University	(414) 288-7250
Wisconsin Lutheran College	(414) 443-8800
San Francisco State University	(415) 338-1111
University of San Francisco	(415) 422-5555
College of the Ozarks	(417) 334-6411
Missouri State University	(417) 836-5000
Ashland University	(419) 289-4142
Bowling Green State University	(419) 372-2531
Ohio Northern University	(419) 772-2000
East Tennessee State University	(423) 439-1000
Hampden-Sydney College	(434) 223-6000
Sweet Briar College	(434) 381-6100
Liberty University	(434) 582-2000
University of Virginia	(434) 924-0311
Randolph College	(434) 947-8000
Utah State University	(435) 797-1000
Oberlin College	(440) 775-8121
Baldwin Wallace University	(440) 826-2900
Morgan State University	(443) 885-3333
Kennesaw State University	(470) 578-6000
Mercer University	(478) 301-2700
Wesleyan College, Macon	(478) 477-1110
John Brown University	(479) 524-9500
University of Arkansas	(479) 575-2000
University of the Ozarks	(479) 979-1000
Arizona State University	(480) 965-2100
Muhlenberg College	(484) 664-3100
Hendrix College	(501) 329-6811
University of Arkansas, Little Rock	(501) 569-3000
Bellarmine University	(502) 272-8000
University of Louisville	(502) 852-5205
Georgetown College	(502) 863-8000
Willamette University	(503) 370-6300
George Fox University	(503) 538-8383
Portland State University	(503) 725-3000
Lewis & Clark College	(503) 768-7000
Reed College	(503) 771-1112
Linfield College	(503) 883-2200
University of Portland	(503) 943-8000
University of New Orleans	(504) 280-6000
Loyola University New Orleans	(504) 865-3240
Tulane University	(504) 865-5000
University of New Mexico	(505) 260-1354
Saint John's College (NM)	(505) 984-6000
Carleton College	(507) 222-4000
Minnesota State University, Mankato	(507) 389-1866
Saint Mary's University of Minnesota	(507) 452-4430
Saint Olaf College	(507) 786-2222
Gustavus Adolphus College	(507) 933-8000
Wheaton College (Norton)	(508) 285-7722
Stonehill College	(508) 565-1000
College of the Holy Cross	(508) 793-2011
Clark University	(508) 793-7711
Worcester Polytechnic Institute	(508) 831-5000
Gonzaga University	(509) 328-4220
Washington State University	(509) 335-3564
Whitman College	(509) 527-5111
Whitworth University	(509) 777-1000
Mills College	(510) 430-2255
Pacific University	(510) 489-5200
University of California, Berkeley	(510) 642-6000
California State University, East Bay	(510) 885-3000
Texas State University, San Marcos	(512) 245-2111
Saint Edward's University	(512) 448-8400
University of Texas, Austin	(512) 471-3434
Southwestern University	(512) 863-6511
Miami University, Oxford	(513) 529-1809
University of Cincinnati	(513) 556-6000
Xavier University	(513) 745-3000
Drake University	(515) 271-2011
Iowa State University	(515) 294-4111
Simpson College	(515) 961-6251
Hofstra University	(516) 463-6600
United States Merchant Marine Academy	(516) 773-5258
Michigan State University	(517) 355-1855
Hillsdale College	(517) 437-7341
Albion College	(517) 629-1000
Russell Sage College	(518) 244-2000
Rensselaer Polytechnic Institute	(518) 276-6000
Union College	(518) 388-6000
SUNY, Albany (University at Albany)	(518) 442-3300
Skidmore College	(518) 580-5000
Siena College	(518) 783-2300
University of Arizona	(520) 621-2211
University of California, Davis	(530) 752-1011
California State University, Chico	(530) 898-4636
Virginia Tech	(540) 231-6000
Hollins University	(540) 362-6000
Roanoke College	(540) 375-2500
Washington and Lee University	(540) 458-8400
Virginia Military Institute	(540) 464-7230
James Madison University	(540) 568-6211
University of Mary Washington	(540) 654-1000
Mary Baldwin College	(540) 887-7019
University of Oregon	(541) 346-1000
Oregon State University	(541) 737-1000
Oregon Institute of Technology	(541) 885-1000
California State University, Fresno	(559) 278-4240
Lynn University	(561) 237-7000
Florida Atlantic University	(561) 297-3000
Biola University	(562) 903-6000
Whittier College	(562) 907-4238
California State University, Long Beach	(562) 985-4111
Luther College	(563) 387-2000
Clarke University	(563) 588-6300
Lycoming College	(570) 321-4000
Susquehanna University	(570) 374-0101
University of Scranton	(570) 941-7400
Missouri University of Science and Technology	(573) 341-4111
University of Missouri, Columbia	(573) 882-2121
Saint Mary's College	(574) 284-4000
Goshen College	(574) 535-7000
University of Notre Dame	(574) 631-5000
Bethel College	(574) 807-7000
New Mexico State University, Las Cruces	(575) 646-0111
New Mexico Institute of Mining and Technology	(575) 835-5434
SUNY, Geneseo	(585) 245-5000
University of Rochester	(585) 275-2121
Saint John Fisher College	(585) 385-8000
Rochester Institute of Technology	(585) 475-2411
Houghton College	(585) 567-9200
University of Southern Mississippi	(601) 266-1000
Mississippi College	(601) 925-3000
Millsaps College	(601) 974-1000
Jackson State University	(601) 979-2121
Saint Anselm College	(603) 641-7000
Dartmouth College	(603) 646-1110
University of New Hampshire	(603) 862-1234
Augustana College (Sioux Falls)	(605) 274-0770
Cornell University	(607) 254-4636
Ithaca College	(607) 274-3011
Hartwick College	(607) 431-4000
SUNY, College at Oneonta	(607) 436-3500
Elmira College	(607) 735-1800
SUNY, Binghamton (Binghamton University)	(607) 777-2000
Alfred University	(607) 871-2175
University of Wisconsin, Madison	(608) 263-2400
Beloit College	(608) 363-2000
Princeton University	(609) 258-3000
Richard Stockton College of New Jersey	(609) 652-1776
College of New Jersey	(609) 771-2131
Rider University	(609) 896-5000
Swarthmore College	(610) 328-8000
Lafayette College	(610) 330-5000
Ursinus College	(610) 409-3000
West Chester University of Pennsylvania	(610) 436-1000
Villanova University	(610) 519-4500
Bryn Mawr College	(610) 526-5000
Immaculata University	(610) 647-4400
Saint Joseph's University	(610) 660-1000
Lehigh University	(610) 758-3000
Moravian College	(610) 861-1300
Haverford College	(610) 896-1000
Albright College	(610) 921-2381
University of Minnesota, Twin Cities	(612) 625-5000
Capital University	(614) 236-6011
Ohio State University, Columbus	(614) 292-6446
Otterbein University	(614) 890-3000
Vanderbilt University	(615) 322-7311
Fisk University	(615) 329-8500
Belmont University	(615) 460-6000
Middle Tennessee State University	(615) 898-2300
Tennessee State University	(615) 963-5000
Grand Valley State University	(616) 331-5000
Hope College	(616) 395-7000
Calvin College	(616) 526-6000
Massachusetts Institute of Technology	(617) 253-1000
University of Massachusetts, Boston	(617) 287-5000
Boston University	(617) 353-2000
Northeastern University	(617) 373-2000
Harvard University	(617) 495-1000
Simmons College	(617) 521-2000
Boston College	(617) 552-8000
Tufts University	(617) 628-5000
Emerson College	(617) 824-8500
Southern Illinois University, Carbondale	(618) 453-2121
University of San Diego	(619) 260-4600
San Diego State University	(619) 594-5200
California Institute of Technology	(626) 395-6811
Azusa Pacific University	(626) 969-3434
Elmhurst College	(630) 279-4100
North Central College	(630) 637-5100
Wheaton College (Wheaton)	(630) 752-5000
Benedictine University	(630) 829-6000
Farmingdale State College	(631) 420-2000
SUNY, Stony Brook (Stony Brook University)	(631) 632-6000
Grinnell College	(641) 269-4000
CUNY, Baruch College	(646) 312-1000
Stanford University	(650) 723-2300
Hamline University	(651) 523-2800
University of Northwestern, St. Paul	(651) 631-5100
Bethel University	(651) 638-6400
Saint Catherine University	(651) 690-6000
Macalester College	(651) 696-6000
University of Saint Thomas	(651) 962-5000
California State University, Fullerton	(657) 278-2011
Truman State University	(660) 785-4000
Mississippi State University	(662) 325-2323
University of Mississippi	(662) 915-7211
North Dakota State University	(701) 231-8011
University of North Dakota	(701) 777-3000
University of Nevada, Las Vegas	(702) 895-3011
George Mason University	(703) 993-1000
Queens University of Charlotte	(704) 337-2200
Catawba College	(704) 637-4111
University of North Carolina, Charlotte	(704) 687-8622
Davidson College	(704) 894-2000
Berry College	(706) 232-5374
University of Georgia	(706) 542-3000
Covenant College	(706) 820-1560
California Maritime Academy	(707) 654-1000
Sonoma State University	(707) 664-2880
Humboldt State University	(707) 826-3011
Northwestern College	(712) 707-7000
Dordt College	(712) 722-6000
Texas Southern University	(713) 313-7011
Rice University	(713) 348-0000
University of Houston	(713) 743-2255
Vanguard University of Southern California	(714) 556-3610
Chapman University	(714) 997-6815
University of Wisconsin, Eau Claire	(715) 836-4636
SUNY, Buffalo (University at Buffalo)	(716) 645-2000
Canisius College	(716) 883-7000
Dickinson College	(717) 243-5121
Franklin and Marshall College	(717) 291-3911
Gettysburg College	(717) 337-6300
Elizabethtown College	(717) 361-1000
Messiah College	(717) 766-2511
Lebanon Valley College	(717) 867-6161
Millersville University	(717) 871-4636
Wagner College	(718) 390-3100
Saint Francis College	(718) 522-2300
Fordham University	(718) 817-1000
CUNY, Brooklyn College	(718) 951-5000
CUNY, Lehman College	(718) 960-8000
CUNY, College of Staten Island	(718) 982-2000
Saint John's University (NY)	(718) 990-2000
CUNY, Queens College	(718) 997-5000
University of Colorado, Colorado Springs	(719) 255-8227
United States Air Force Academy	(719) 333-2025
Colorado College	(719) 389-6000
Washington & Jefferson College	(724) 222-4400
Indiana University of Pennsylvania	(724) 357-2100
Grove City College	(724) 458-2000
Saint Vincent College	(724) 532-6600
Westminster College (New Wilmington)	(724) 946-7100
Union University	(731) 668-1818
Rutgers University, New Brunswick	(732) 445-4636
Eastern Michigan University	(734) 487-1849
University of Michigan, Ann Arbor	(734) 764-1817
Franciscan University of Steubenville	(740) 283-3771
Ohio Wesleyan University	(740) 368-2000
Marietta College	(740) 376-4600
Kenyon College	(740) 427-5000
Denison University	(740) 587-0810
Ohio University	(740) 593-1000
College of William and Mary	(757) 221-4000
Christopher Newport University	(757) 594-7000
Old Dominion University	(757) 683-3000
Ball State University	(765) 289-1241
Wabash College	(765) 361-6100
Purdue University, West Lafayette	(765) 494-4600
DePauw University	(765) 658-4800
Earlham College	(765) 983-1734
Taylor University	(765) 998-2751
Loyola University Chicago	(773) 274-3000
University of Chicago	(773) 702-1234
University of Nevada, Reno	(775) 784-1110
Wellesley College	(781) 283-1000
Brandeis University	(781) 736-2000
Bentley University	(781) 891-2000
Kansas State University	(785) 532-6011
University of Kansas	(785) 864-2700
Adelphi University	(800) 233-5744
High Point University	(800) 345-6993
Lyon College	(800) 423-2542
University of Evansville	(800) 423-8633
Anderson University	(800) 428-6414
Montana Tech of the University of Montana	(800) 445-8324
Eckerd College	(800) 456-9009
Westminster College (Fulton)	(800) 475-3361
Hastings College	(800) 532-7642
Nebraska Wesleyan University	(800) 541-3818
Nova Southeastern University	(800) 541-6682
Troy University	(800) 551-9716
The Master's College	(800) 568-6248
University of Toledo	(800) 586-5336
Maryville College	(800) 597-2687
Manhattan College	(800) 622-9235
Saint Louis University	(800) 758-3678
Western State Colorado University	(800) 876-5309
United States Coast Guard Academy	(800) 883-8724
South Dakota State University	(800) 952-3541
University of Mount Union	(800) 992-6682
Brigham Young University	(801) 422-4636
University of Utah	(801) 581-7200
Weber State University	(801) 626-6000
Utah Valley University	(801) 863-4636
Marlboro College	(802) 257-4333
Bennington College	(802) 442-5401
Middlebury College	(802) 443-5000
Saint Michael's College	(802) 654-2000
University of Vermont	(802) 656-3131
Claflin University	(803) 535-5000
University of South Carolina, Columbia	(803) 777-0169
University of Richmond	(804) 289-8000
Randolph-Macon College	(804) 752-7200
Virginia Commonwealth University	(804) 828-0100
California Lutheran University	(805) 492-2411
Thomas Aquinas College	(805) 525-4417
Westmont College	(805) 565-6000
California Polytechnic State University, San Luis Obispo	(805) 756-1111
University of California, Santa Barbara	(805) 893-8000
Texas Tech University	(806) 742-2011
University of Hawaii, Manoa	(808) 956-8111
Indiana State University	(812) 237-6311
Indiana University, Bloomington	(812) 855-4848
Hanover College	(812) 866-7000
University of Tampa	(813) 253-3333
University of South Florida	(813) 974-2011
Allegheny College	(814) 332-3100
Juniata College	(814) 641-3600
Pennsylvania State University, University Park	(814) 865-4700
Northern Illinois University	(815) 753-1000
University of Missouri, Kansas City	(816) 235-1000
Rockhurst University	(816) 501-4100
William Jewell College	(816) 781-7700
Texas Christian University	(817) 257-7000
University of Texas, Arlington	(817) 272-2011
California State University, Northridge	(818) 677-1200
University of North Carolina, Asheville	(828) 251-6600
Appalachian State University	(828) 262-2000
Warren Wilson College	(828) 298-3325
University of California, Santa Cruz	(831) 459-0111
The Citadel	(843) 225-3294
Coastal Carolina University	(843) 347-3161
College of Charleston	(843) 805-5507
SUNY, College at New Paltz	(845) 257-7869
Vassar College	(845) 437-7000
Marist College	(845) 575-3000
Bard College	(845) 758-6822
United States Military Academy	(845) 938-4011
Lake Forest College	(847) 234-3100
Northwestern University	(847) 491-3741
University of West Florida	(850) 474-2000
Florida Agricultural and Mechanical University	(850) 599-3000
Florida State University	(850) 644-2525
Rowan University	(856) 256-4000
University of California, San Diego	(858) 534-2230
Transylvania University	(859) 233-8300
Centre College	(859) 238-5200
University of Kentucky	(859) 257-9000
Northern Kentucky University	(859) 572-5220
Eastern Kentucky University	(859) 622-1000
Asbury University	(859) 858-3511
Berea College	(859) 985-3000
Trinity College	(860) 297-2000
Connecticut College	(860) 447-1911
University of Connecticut	(860) 486-4900
Wesleyan University	(860) 685-2000
University of Hartford	(860) 768-4100
Florida Southern College	(863) 680-4111
Furman University	(864) 294-2000
Erskine College	(864) 379-2131
Converse College	(864) 596-9000
Wofford College	(864) 597-4000
Clemson University	(864) 656-3311
Presbyterian College	(864) 833-2820
North Greenville University	(864) 977-7000
Carson-Newman University	(865) 471-2000
University of Tennessee, Knoxville	(865) 974-1000
University of Texas, Pan American	(866) 441-8872
University of South Dakota	(877) 269-6837
Christian Brothers University	(877) 321-4228
Central College	(877) 462-3687
Southern Illinois University Edwardsville	(888) 328-5168
King's College	(888) 546-4772
University of Memphis	(901) 678-2000
Rhodes College	(901) 843-3000
Austin College	(903) 813-2000
Texas A&M University, Commerce	(903) 886-5102
University of North Florida	(904) 620-1000
Michigan Technological University	(906) 487-1885
University of Alaska, Fairbanks	(907) 474-7211
University of Alaska, Anchorage	(907) 786-1800
California State University, San Bernardino	(909) 537-5000
University of La Verne	(909) 593-3511
Harvey Mudd College	(909) 621-8000
Pitzer College	(909) 621-8000
Pomona College	(909) 621-8000
Scripps College	(909) 621-8000
University of Redlands	(909) 793-2121
California State Polytechnic University, Pomona	(909) 869-7659
University of North Carolina, Wilmington	(910) 962-3000
Georgia Southern University	(912) 478-4636
Sarah Lawrence College	(914) 337-0700
University of Texas, El Paso	(915) 747-5000
California State University, Sacramento	(916) 278-6011
Oral Roberts University	(918) 495-6161
University of Tulsa	(918) 631-2000
North Carolina State University, Raleigh	(919) 515-2011
Duke University	(919) 684-8111
Meredith College	(919) 760-8600
University of North Carolina, Chapel Hill	(919) 962-2211
Saint Norbert College	(920) 337-3181
Ripon College	(920) 748-8115
Lawrence University	(920) 832-7000
Saint Mary's College of California	(925) 631-4000
Northern Arizona University	(928) 523-9011
Sewanee—University of the South	(931) 598-1000
Sam Houston State University	(936) 294-1111
Stephen F. Austin State University	(936) 468-3401
University of Dayton	(937) 229-1000
Wittenberg University	(937) 327-6231
Cedarville University	(937) 766-7700
Wright State University	(937) 775-3333
University of North Texas	(940) 565-2000
Texas Woman's University	(940) 898-2000
New College of Florida	(941) 487-5000
University of California, Irvine	(949) 824-5011
University of California, Riverside	(951) 827-1012
Fort Lewis College	(970) 247-7010
Colorado Mesa University	(970) 248-1020
University of Northern Colorado	(970) 351-1890
Colorado State University	(970) 491-6444
University of Dallas	(972) 721-5000
University of Texas, Dallas	(972) 883-2111
Drew University	(973) 408-3000
New Jersey Institute of Technology	(973) 596-3000
Montclair State University	(973) 655-4000
Seton Hall University	(973) 761-9000
Merrimack College	(978) 837-5000
Gordon College	(978) 927-2300
University of Massachusetts, Lowell	(978) 934-4000
Texas A&M University, College Station	(979) 845-3211
Southeastern Louisiana University	(985) 549-2000
Alma College	(989) 463-7111
Central Michigan University	(989) 774-4000
Ouachita Baptist University	800-342-5628
