id,name,url,city,state_full,state_short,logo_url,facebook_url,twitter_url,phone,profile,forbes_url
11,Haverford College,http://www.haverford.edu/,Haverford,Pennsylvania,PA,http://i.forbesimg.com/media/lists/colleges/haverford-college_200x200.jpg,https://www.facebook.com/haverfordcollege,https://twitter.com/haverfordedu,610-896-1000,"Founded in 1833, Haverford College is a private liberal arts college located eight miles from Philadelphia. Today, Haverford offers more than 40 majors in the natural sciences, social sciences and humanities and is one of FORBES' top-ranked schools for producing entrepreneurs. Haverford is a member of the Tri-College Consortium, which allows students to register for courses at both Bryn Mawr and Swarthmore colleges. It is also a member of the Quaker Consortium, or a ""Penn-Pal,"" which allows students to cross-register at the University of Pennsylvania. The school was one of a handful of colleges to host a satellite version of the TED conference on campus. Students may schedule their own final exams – often as take-home tests – and are expected to adhere to time limits and rules against use of personal notes or calculators. Haverford College is also known for its arboretum, which has 400 species of trees and shrubs, as well as a 3.5-acre duck pond. Each graduating class has a tree planted there in its honor. Students created James House, an open art studio and student space, in 2005; it provides a large working area, hosts biannual parties and gives free art supplies to all students.",http://www.forbes.com/colleges/haverford-college/?list=top-colleges
12,University of Pennsylvania,http://www.upenn.edu/,Philadelphia,Pennsylvania,PA,http://i.forbesimg.com/media/lists/colleges/university-of-pennsylvania_200x200.jpg,https://www.facebook.com/UnivPennsylvania,https://twitter.com/Penn,(215) 898-5000,"The University of Pennsylvania, which opened its doors in 1751, started as a charitable school for children of Philadelphia’s working-class, with the aid of Benjamin Franklin, one of the school’s – and the country’s – founding fathers. The school was the first in the colonies to offer both graduate and undergraduate programs, and opened America’s first medical school in 1765. Since 1923, over a dozen Penn scholars have won the Nobel Prize. Undergraduates can work toward 89 majors at the university’s four schools: the Wharton School, which is focused on business; the College at Penn, which is geared towards arts and sciences; the School of Engineering and Applied Science; and the School of Nursing. The University of Pennsylvania competes in NCAA Division I-AA athletics and the mascot is the Quaker. Franklin Field is the oldest collegiate football stadium still in use.",http://www.forbes.com/colleges/university-of-pennsylvania/?list=top-colleges
13,Brown University,http://www.brown.edu/,Providence,Rhode Island,RI,http://i.forbesimg.com/media/lists/colleges/brown-university_200x200.jpg,https://www.facebook.com/BrownUniversity,https://twitter.com/BrownUniversity,401.863.1000,"Brown University has cultivated a reputation as the most eccentric and liberal of the Ivies. Established in 1764 (it celebrates its 250th anniversary this year), Brown is the seventh-oldest institution of higher education in the country. Academically, Brown prides itself on its open curriculum in over 40 academic departments, imposing no core requirements. Superstition permeates the university: the Van Wickle Gates at the entrance can only be walked through once at matriculation and once at commencement, or, as legend has it, a student will fail to graduate. Immediately after graduation about 25% of students go on to graduate or professional study. Notable alumni include actors John Krasinski, Laura Linney and Emma Watson, as well as CNN founder Ted Turner.",http://www.forbes.com/colleges/brown-university/?list=top-colleges
14,Bowdoin College,http://www.bowdoin.edu/,Brunswick,Maine,ME,http://i.forbesimg.com/media/lists/colleges/bowdoin-college_200x200.jpg,https://www.facebook.com/Bowdoin,https://twitter.com/BowdoinCollege,(207) 725-3000,"Founded in 1794 on the Maine coast, Bowdoin College is known for its strong academics, athletic programs and frigid winters. Bowdoin’s curriculum consists of over 40 majors, and those students interested in environmental studies can use the college’s 118-acre coastal studies center on Orr’s Island and 200-acre scientific field station on Kent Island in the Bay of Fundy. Bowdoin competes in NCAA Division III varsity athletics. Sports range from football to Nordic skiing to ultimate Frisbee. Bowdoin students tend to rally around their hockey team, especially during the annual Bowdoin-Colby hockey face-off when the Polar Bears are up against the Mules. Since abolishing Greek Life, Bowdoin students have instead been sorted into eight “college houses” during their first years. Notable alumni include author Nathaniel Hawthorne, sexologist Alfred Kinsey and former U.S. President Franklin Pierce.",http://www.forbes.com/colleges/bowdoin-college/?list=top-colleges
15,Wesleyan University,http://www.wesleyan.edu/,Middletown,Connecticut,CT,http://i.forbesimg.com/media/lists/colleges/wesleyan-university_200x200.jpg,https://www.facebook.com/wesleyan.university,https://twitter.com/wesleyan_u,860-685-3000,"Wesleyan University is a private liberal arts school located in Middletown, CT. It was established in 1831 by the Methodist Church and is considered one of the Little Ivies. Known for its small classes, strong academics and student activism, Wesleyan offers 40 academic departments and 47 concentrations. About a third of students elect interdisciplinary majors and 40% opt for double majors. The school also operates a quantitative analysis center, a fast-growing program providing collaboration across the curriculum and disciplines in data analysis as well as a five-year BA/MA program in the sciences (no tuition for the fifth year). The school operates a Chinese music ensemble and teaches African and Java dance courses. Every spring break, the college hosts popular DanceMasters shows. The university has one of the oldest secret societies in the country, Skull and Serpent. From 1888 to 1890, Woodrow Wilson taught history and political economy classes at the school. Wesleyan University competes in NCAA Division III athletics. Notable alumni include New England Patriots head coach Bill Belichick and filmmakers Joss Whedon and Michael Bay.",http://www.forbes.com/colleges/wesleyan-university/?list=top-colleges
16,Carleton College,http://www.carleton.edu/,Northfield,Minnesota,MN,http://i.forbesimg.com/media/lists/colleges/carleton-college_200x200.jpg,https://www.facebook.com/CarletonCollege,https://twitter.com/CarletonCollege,507-222-4000,"Founded in 1866, Carleton College is Minnesota’s third \-oldest college and adjacent to St. Olaf College in Northfield. Operating on a trimester calendar -- three ten-week terms in an academic year -- Carleton requires students to complete a senior-year integrative exercise, nicknamed “Comps.” This typically consists of research or creative expression and publicly-presented papers. The College offers 37 majors and 15 minors and operates 10 academic centers, programs and initiatives. The school also manages over 60 campus-wide scholarships and fellowships to support independent studies and career explorations. Carleton’s student-run radio station KRLX is among the best in the nation. The school also has several a cappella groups. Since 1990, Carleton students have played ""Late Night Trivia,"" a game show broadcast over the college's radio station, during the annual Winter Term exam period. In five of the last 12 years, Carleton College students received the Best Delegation award at the World Model United Nations competition. The college competes in NCAA Division III athletics.",http://www.forbes.com/colleges/carleton-college/?list=top-colleges
17,University of Notre Dame,http://www.nd.edu/,St. Marys,Indiana,IN,http://i.forbesimg.com/media/lists/colleges/university-of-notre-dame_200x200.jpg,https://www.facebook.com/notredame,https://twitter.com/NotreDame,(574) 631-5000,"The University of Notre Dame was established in 1842 by Roman Catholic priests. Its schools include Arts and Letters, Engineering, Science, the well-regarded Mendoza College of Business, the School of Architecture, the Law School and the Graduate School. Among its buildings are the Basilica of the Sacred Heart, the 14-story Hesburgh Library that features a 132-foot tall mural of Christ the Teacher and the historic Main Building with the distinctive golden dome. Members of Notre Dame’s faculty have received 46 fellowships from the National Endowment for the Humanities since 1999, more than any other university in the country. The university has a longstanding relationship with the Peace Corps: 850 students have entered the Corps since its founding in 1961. The university recently announced that it will partner with public and private organizations to construct a $36 million research facility geared towards advancing gas turbine technology. The Fighting Irish compete in NCAA Division I athletics and the school mascot is a leprechaun. Prominent alumni include former U.S. Secretary of State Condoleezza Rice and author Nicholas Sparks.",http://www.forbes.com/colleges/university-of-notre-dame/?list=top-colleges
18,Dartmouth College,http://www.dartmouth.edu/,Hanover,New Hampshire,NH,http://i.forbesimg.com/media/lists/colleges/dartmouth-college_200x200.jpg,https://www.facebook.com/Dartmouth,https://twitter.com/dartmouth,(603) 646-1110,"Established in 1769, Dartmouth is a private Ivy League school and one of the nation’s oldest colleges. Located in Hanover, NH, Dartmouth is classified as a university with very high research activity by the Carnegie Foundation and the school attracted nearly $200 million in sponsored research in 2013. Notable alumni include two former US Treasury Secretaries, Henry Paulson and Timothy Geithner, and three Nobel laureates. The school’s newspaper, The Dartmouth, was founded in 1799 and is considered America’s oldest college newspaper. In addition to the newspaper, there are more than 160 student organizations on campus and a strong sports culture. Nicknamed the Big Green, Dartmouth’s 34 intercollegiate varsity sports teams compete within Division I, the eight-member Ivy League and the Eastern Collegiate Athletic Conference. Each term, students look forward to the “Big Weekend” or “Party Weekend,” a time set aside for campus-wide celebratory events.",http://www.forbes.com/colleges/dartmouth-college/?list=top-colleges
19,Northwestern University,http://www.northwestern.edu/,Evanston,Illinois,IL,http://i.forbesimg.com/media/lists/colleges/northwestern-university_200x200.jpg,https://www.facebook.com/NorthwesternU,https://twitter.com/NorthwesternU,847-491-3741,"Northwestern University is a private research university located in Evanston, IL, with satellite campuses in Chicago and Qatar. Renowned for its communication, engineering and art programs, Northwestern offers roughly 150 majors at nine prominent undergraduate schools. The university has an annual budget of over $1.6 billion, plus over $500 million for sponsored research. Northwestern operates on a quarter system, and students have finals three times a year. Perhaps as a result, the “Primal Scream” tradition occurs at 9 pm on the night before finals week and students take a break from studying to scream as loud as they can. The school also hosts Armadillo Day, when a full slate of bands performs on Lakefill around Memorial Day. Prominent alumni include comedian Stephen Colbert and actor Zach Braff. Cindy Crawford received a full scholarship to Northwestern to study chemical engineering but dropped out to model. The Northwestern Wildcats play in NCAA Division I as part of the Big 10 conference.",http://www.forbes.com/colleges/northwestern-university/?list=top-colleges
20,Columbia University,http://www.columbia.edu/,New York,New York,NY,http://i.forbesimg.com/media/lists/colleges/columbia-university-in-the-city-of-new-york_200x200.jpg,https://www.facebook.com/columbia,https://twitter.com/Columbia,212-854-1754,"Columbia University was founded in 1754 as King’s College and is the oldest institution of higher learning in New York, as well as the fifth oldest in the country. Columbia is affiliated with Barnard College and the Julliard School, among others. Every student is required to complete Columbia’s core curriculum of courses: contemporary civilization, literature humanities, writing, art humanities, frontiers of science, global core, foreign language and physical education. Since 1901, Columbia University has been affiliated with over 100 Nobel Prize laureates, three U.S. presidents, more than 20 Academy Award winners and nine justices of the United States Supreme Court. Columbia has global centers in Amman, Beijing, Istanbul, Mumbai, Nairobi, Paris and Santiago, which facilitate international collaborations, research projects and study abroad. Like Northwestern, Columbia also has “Primal Scream,” which takes place at midnight on the Sunday before the last week of final exams, and students can open their windows and howl for up to five minutes to release their stress. The university competes in NCAA Division I athletics and the school mascot is the Lion. The president of the university is Lee C. Bollinger.",http://www.forbes.com/colleges/columbia-university-in-the-city-of-new-york/?list=top-colleges
21,California Institute of Technology,http://www.caltech.edu/,Pasadena,California,CA,http://i.forbesimg.com/media/lists/colleges/california-institute-of-technology_200x200.jpg,https://www.facebook.com/californiainstituteoftechnology,https://twitter.com/Caltech,(626) 395-6811,"Based in Pasadena, CA, the California Institute of Technology is a small-sized STEM institute. Founded as Throop University in 1891, it was renamed California Institute of Technology in 1920. Majors are called “options” at Caltech, and some of the most popular are computer science, electrical engineering and physics. Caltech is often considered one of the best schools for return on investment. Roughly 75% of Caltech students participate in undergraduate research. The school has 3/2 dual degree programs with 13 select liberal arts colleges, in which students can complete two bachelor’s degrees in five years. The Fleming Cannon, an 1857 artillery piece, is fired for important events such as Commencement and Ditch Day, an annual tradition dating back to 1920 where seniors depart from campus and leave behind elaborate puzzles, or “stacks,” for the underclassmen to solve. Frank Borman, a member of the class of 1957, commanded the 1968 Apollo 8 Mission, the first team of astronauts to circle the moon. Home to 32 Nobel laureates, previous Caltech faculty members include Albert Einstein and Stephen Hawking.",http://www.forbes.com/colleges/california-institute-of-technology/?list=top-colleges
22,Davidson College,http://www.davidson.edu/,Davidson,North Carolina,NC,http://i.forbesimg.com/media/lists/colleges/davidson-college_200x200.jpg,https://www.facebook.com/davidsoncollege.nc,https://twitter.com/DavidsonCollege,(704) 894-2000,"Davidson College is a small private liberal arts college in Davidson, NC, 20 miles north of Charlotte. Since being established in 1837, Davidson has produced 23 Rhodes Scholars. The school offers 25 majors and 17 minors, as well as self-designed interdisciplinary options. On campus there are over 200 student organizations, ranging from academic groups to sports clubs. In 2007, Davidson became the first liberal arts school to eliminate loans in favor of guaranteed financial aid through grants and student employment. Davidson competes in Division I athletics with 19 varsity teams. Notable attendees include former U.S. President Woodrow Wilson and NBA star Stephen Curry. The tradition of Davidson’s Freshman Cake Race began in 1930 as a mandatory 1.7 mile race between first year students to uncover hidden talent for the track team; now it is an annual voluntary race that awards cakes to the winners.",http://www.forbes.com/colleges/davidson-college/?list=top-colleges
23,Duke University,http://duke.edu/,Durham,North Carolina,NC,http://i.forbesimg.com/media/lists/colleges/duke-university_200x200.jpg,https://www.facebook.com/DukeUniv,https://twitter.com/DukeU,919-684-8111,"Founded in 1924, Duke University is affiliated with the United Methodist Church. The most popular undergraduate majors are economics, public policy, biomedical engineering, biology and psychology. The private university exceeded $1 billion in research expenditures in 2012. Notable Duke alumni include Melinda Gates, journalist Dan Abrams and musician Mike Posner. The university also houses the world's largest colony of endangered primates, housing some 200 lemurs, bush babies and lorises at the Lemur Center. Duke's 26 Blue Devil teams compete in NCAA Division I athletics and take their name from the French aerial soldiers of World War I who were nicknamed “Les Diables Bleus.”",http://www.forbes.com/colleges/duke-university/?list=top-colleges
24,University of Chicago,http://www.uchicago.edu/,Chicago,Illinois,IL,http://i.forbesimg.com/media/lists/colleges/university-of-chicago_200x200.jpg,https://www.facebook.com/uchicago,https://twitter.com/UChicago,773-702-8650,"Established in 1890 by oil tycoon John D. Rockefeller and the American Baptist Education Society, the university has grown into one of the preeminent research institutions in America, with leading graduate programs in economics, business, law and medicine. The university is affiliated with 87 Nobel laureates, 48 Rhodes Scholars and nine Fields Medalists. Notable alumni include former Goldman Sachs and MF Global CEO Jon Corzine, scientist Carl Sagan, novelist Kurt Vonnegut and Supreme Court Justice John Paul Stevens. One of the school’s most celebrated traditions is a scavenger hunt in which student and faculty teams run around campus collecting eccentric objects, each with different point values to be assessed by a panel of judges at the end. The University of Chicago competes in NCAA Division III athletics and the school mascot is the Phoenix.",http://www.forbes.com/colleges/university-of-chicago/?list=top-colleges
25,Tufts University,http://www.tufts.edu/,Medford,Massachusetts,MA,http://i.forbesimg.com/media/lists/colleges/tufts-university_200x200.jpg,https://www.facebook.com/tuftsu,https://twitter.com/TuftsUniversity,617-628-5000,"Located near Boston and nicknamed a “Little Ivy,” Tufts is a private research university known for its internationalism and study abroad programs. Undergraduates can pick from more than 70 undergraduate degree programs in two schools. Nearly 90% are enrolled in the School of Arts and Sciences and some 10% are in the School of Engineering. Over half of Tufts students study abroad, with sponsored programs in Chile, China, Ghana, Oxford and Paris, among other places. Students compete in NCAA Division III sports, with a mascot of Jumbo the elephant. A number of elephant statues exist around the main campus and each Halloween students secretly place pumpkins on their tusks around midnight. Since 1980, the campus has hosted a Spring Fling concert, showcasing acts such as Lupe Fiasco, the Decemberists and Drake. In 1984, the university flag orbited Earth 127 times aboard a space shuttle with astronaut and alumnus Frederick Hauck.",http://www.forbes.com/colleges/tufts-university/?list=top-colleges
26,Vassar College,http://www.vassar.edu/,Poughkeepsie,New York,NY,http://i.forbesimg.com/media/lists/colleges/vassar-college_200x200.jpg,https://www.facebook.com/vassarcollege,https://twitter.com/Vassar,(845) 437-7000,"Vassar College was originally founded as a women’s college in 1861. After declining to merge with Yale University, Vassar became one of the first all-women's colleges to go coed in 1969. The class of 2017 is 57% female, 43% male. The school offers over 50 majors (English, political science and the biological sciences are among the most popular), plus a self-designed major. The only mandatory requirements for graduation are proficiency in a foreign language, a quantitative course and a first-year writing course. Vassar occupies a 1,000-acre campus in the Hudson Valley region of New York and includes an organic farm and ecological preserve. Notable alumni include Flickr cofounder Caterina Fake and filmmaker Noah Baumbach. The school’s 22 varsity teams compete in Division III athletics.",http://www.forbes.com/colleges/vassar-college/?list=top-colleges
27,United States Naval Academy,http://www.usna.edu/,Annapolis,Maryland,MD,http://i.forbesimg.com/media/lists/colleges/united-states-naval-academy_200x200.jpg,https://www.facebook.com/USNavalAcademy,https://twitter.com/NavalAcademy,410-293-1000,"The United States Naval Academy is a coeducational public liberal arts college that sits on 10 acres of former Fort Severn in Annapolis, MD. It was established in 1845 and its motto is “From Knowledge, Sea Power.” Students must have a congressional nomination to apply. The academy offers the Bowman Scholar Program to a select group of students who serve in the Nuclear Navy power program. The campus is a National Historic Landmark and is 33 miles from Washington, D.C. and 30 miles from Baltimore. The school competes in NCAA Division I athletics as the Midshipmen and the colors are navy blue and gold. First-year students climb the Herndon Monument as a rite of passage. Secretary of Defense Chuck Hagel delivered the 2014 commencement address and the Navy’s Flight Demonstration Squadron, the Blue Angels, flew over the graduation ceremony as they do every year.",http://www.forbes.com/colleges/united-states-naval-academy/?list=top-colleges
